locale,group,key,value,unicodeCodePoints,utf8Bytes,basis
"fr-FR","featureBlanks","114","Correction de la balance des blancs : réinitialiser","51","52","canon-adapted"
"bg-BG","names","Smooth DoF Edges","Изглаждане на границите на дълбочината на рязкост","49","92","dictionary-candidate"
"it-IT","featureBlanks","114","Correzione bilanciamento del bianco: ripristina","47","47","canon-adapted"
"es-419","featureBlanks","114","Corrección del balance de blancos: restablecer","46","47","canon-adapted"
"es-ES","featureBlanks","114","Corrección del balance de blancos: restablecer","46","47","canon-adapted"
"it-IT","names","Smooth DoF Edges","Ammorbidisci bordi della profondità di campo","44","45","dictionary-candidate"
"fr-FR","names","Smooth DoF Edges","Adoucir les contours de profondeur de champ","43","43","dictionary-candidate"
"fr-FR","featureBlanks","115","Correction de la balance des blancs : ambre","43","43","canon-adapted"
"it-IT","featureBlanks","108","Compensazione dell'esposizione −1/3 di stop","43","45","canon-adapted"
"it-IT","featureBlanks","110","Compensazione dell'esposizione +1/3 di stop","43","43","canon-adapted"
"pt-PT","names","Smooth DoF Edges","Suavizar contornos da profundidade de campo","43","43","dictionary-candidate"
"es-419","featureBlanks","108","Compensación de la exposición −1/3 de paso","42","46","canon-adapted"
"es-419","featureBlanks","110","Compensación de la exposición +1/3 de paso","42","44","canon-adapted"
"es-ES","featureBlanks","108","Compensación de la exposición −1/3 de paso","42","46","canon-adapted"
"es-ES","featureBlanks","110","Compensación de la exposición +1/3 de paso","42","44","canon-adapted"
"fr-FR","featureBlanks","113","Correction de la balance des blancs : bleu","42","42","canon-adapted"
"it-IT","featureBlanks","115","Correzione bilanciamento del bianco: ambra","42","42","canon-adapted"
"bg-BG","names","Camera Pins & Dolly","Маркери на камерата и движение с количка","40","74","dictionary-candidate"
"bg-BG","names","Load Defaults","Зареждане на стойностите по подразбиране","40","76","review-required"
"es-419","featureBlanks","115","Corrección del balance de blancos: ámbar","40","42","canon-adapted"
"es-ES","featureBlanks","115","Corrección del balance de blancos: ámbar","40","42","canon-adapted"
"hu-HU","featureBlanks","115","Fehéregyensúly-korrekció: borostyánsárga","40","45","canon-adapted"
"it-IT","featureBlanks","113","Correzione bilanciamento del bianco: blu","40","40","canon-adapted"
"nl-NL","names","Pro Autofocus","Geavanceerde automatische scherpstelling","40","40","review-required"
"pt-PT","names","Teleport Next","Teletransportar para o marcador seguinte","40","40","dictionary-candidate"
"ro-RO","names","Smooth DoF Edges","Netezire margini ale profunzimii de câmp","40","41","dictionary-candidate"
"ro-RO","featureBlanks","115","Corectarea balansului de alb: chihlimbar","40","40","canon-adapted"
"bg-BG","featureBlanks","108","Компенсация на експонацията −1/3 стъпка","39","72","canon-adapted"
"bg-BG","featureBlanks","110","Компенсация на експонацията +1/3 стъпка","39","70","canon-adapted"
"bg-BG","featureBlanks","114","Корекция на баланса на бялото: нулиране","39","72","canon-adapted"
"bg-BG","featureBlanks","115","Корекция на баланса на бялото: кехлибар","39","72","canon-adapted"
"es-419","names","Smooth DoF Edges","Suavizar bordes de profundidad de campo","39","39","review-required"
"es-419","names","Teleport Next","Teletransportarse al siguiente marcador","39","39","review-required"
"es-419","featureBlanks","113","Corrección del balance de blancos: azul","39","40","canon-adapted"
"es-ES","names","Smooth DoF Edges","Suavizar bordes de profundidad de campo","39","39","review-required"
"es-ES","names","Teleport Next","Teletransportarse al siguiente marcador","39","39","review-required"
"es-ES","featureBlanks","113","Corrección del balance de blancos: azul","39","40","canon-adapted"
"fi-FI","names","3:2 DSLR","3:2 Digitaalinen peilijärjestelmäkamera","39","41","review-required"
"hu-HU","featureBlanks","114","Fehéregyensúly-korrekció: visszaállítás","39","45","canon-adapted"
"el-GR","featureBlanks","115","Διόρθωση ισορροπίας λευκού: κεχριμπαρί","38","72","canon-adapted"
