locale,group,key,value,basis,source,section,sourceTerm,note
"ja-JP","names","Enable","有効","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Advanced","詳細設定","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Zoom","ズーム","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Drone","ドローン","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Settings","設定","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Focus","フォーカス","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0070.html","UG-04_AF-Drive_0070.html / Focus","フォーカス","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Reset","初期化","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Exposure","露出","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0500.html","UG-03_Shooting-1_0500.html / Exposure","露出","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Filters","フィルター","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Stabilize","手ブレ補正","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0330.html","UG-03_Shooting-1_0330.html / Stabilize","手ブレ補正","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Aperture","絞り","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-02_ShootingMode_0070.html","UG-02_ShootingMode_0070.html / Aperture","絞り","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Portrait","縦位置","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Display","表示","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0430.html","UG-03_Shooting-1_0430.html / Display","表示","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Normal","標準","canon-adapted","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0110.html","UG-03_Shooting-1_0110.html / Normal","","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Depth Cool","深度・クール","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Depth Cute","深度・キュート","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Spotlight","スポットライト","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Green Back","グリーンバック","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Blue Back","ブルーバック","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","RIGHT","右","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","UP","上","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","DOWN","下","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","LEFT","左","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Show/Hide","表示切替","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Color","色","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Hexagon","六角形","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Octagon","八角形","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Square","四角形","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Look At Face","顔へ向ける","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Look Up","上へ向ける","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Look Down","下へ向ける","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Look At Feet","足元へ向ける","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Track Self","自分を追尾","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Track Self...","自分を追尾...","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Infinity","無限遠","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Auto Focus","AF","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0040.html","UG-04_AF-Drive_0040.html / Auto Focus","AF","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Manual Focus","MF","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0070.html","UG-04_AF-Drive_0070.html / Manual Focus","MF","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Macro","マクロ","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Picture Style","ピクチャースタイル","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0110.html","UG-03_Shooting-1_0110.html / Picture Style","ピクチャースタイル","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Quick Selfie","自撮り","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Extra...","その他...","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Movie Mode","動画モード","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Avatar-Drop","アバター固定","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","3D Mode","3Dモード","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Mount Swap","マウント切替","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Hide Lens","レンズ非表示","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Increase","絞る","canon-adapted","https://cam.start.canon/ja/C017/manual/html/UG-02_ShootingMode_0070.html","UG-02_ShootingMode_0070.html / Increase","","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Decrease","開く","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-02_ShootingMode_0070.html","UG-02_ShootingMode_0070.html / Decrease","開く","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Sensor Type","センサーサイズ","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","DoF Mode","被写界深度","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-02_ShootingMode_0070.html","UG-02_ShootingMode_0070.html / DoF Mode","被写界深度","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Av Dial","絞り数値","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-02_ShootingMode_0070.html","UG-02_ShootingMode_0070.html / Av Dial","絞り数値","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Bokeh Shape","ボケ形状","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","V. Horizon","水準器","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0430.html","UG-03_Shooting-1_0430.html / V. Horizon","水準器","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Grid","グリッド","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0430.html","UG-03_Shooting-1_0430.html / Grid","グリッド","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Monitor","モニター","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-03_Shooting-1_0430.html","UG-03_Shooting-1_0430.html / Monitor","モニター","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Move HUD","表示位置","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Focus Peaking","MFピーキング","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0070.html","UG-04_AF-Drive_0070.html / Focus Peaking","MFピーキング","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Hand-Rotate","手動回転","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Change Angle","向き変更","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Tracking","追尾","canon-exact","https://cam.start.canon/ja/C017/manual/html/UG-04_AF-Drive_0060.html","UG-04_AF-Drive_0060.html / Tracking","追尾","対象言語の該当撮影機能本文を照合。canon-exactは同じ用語表記の一致、canon-adaptedは機能の意味に基づく作成表現。VRCLens自体の公式訳ではない。"
"ja-JP","names","Move Camera","カメラ移動","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
"ja-JP","names","Drone Speed","ドローン速度","review-required","","","","英語キーと既存訳の意味・表記を点検。対象言語の適切な外部出典は未確認。既存訳を維持し、公式訳とは扱わない。"
