locale,group,key,value,basis,source,section,sourceTerm,note
"fr-FR","names","Advanced","Avancé","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=avanc%C3%A9&oldid=39810943","avancé","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Zoom","Zoom","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=Zoom&oldid=29643653","Zoom","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Drone","Drone","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=drone&oldid=39648596","drone","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Filters","Filtres","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=filtres&oldid=33300809","filtres","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Portrait","Orientation verticale","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=orientation&oldid=39728534","orientation","","Camera orientation, not a portrait picture-style preset. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation. Portrait means vertical frame orientation here, never the portrait color preset."
"fr-FR","names","Normal","Normal","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=Normal&oldid=33349297","Normal","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Depth Cool","Profondeur froide","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=profondeur&oldid=39827443","profondeur","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Depth Cute","Profondeur douce","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=profondeur&oldid=39827443","profondeur","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Spotlight","Projecteur","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=projecteur&oldid=39646415","projecteur","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
"fr-FR","names","Green Back","Fond vert","dictionary-candidate","https://fr.wiktionary.org/w/index.php?title=Fond&oldid=34244239","Fond","","Translation of the VRCLens function, retaining its original semantics. Candidate lexical reference only: native-language section, relevant sense, and complete phrase require review. Not counted as a verified translation."
